Key,Value
1257,"Glück übertragen[/center]
-------------------------------------------------[/center]
[/pos:x=20,y=0]Dauer:[/pos:x=50,y=0]%bdr + %adr pro %cld Stufe(n)[/left]
[/pos:x=20,y=0]Chance:[/pos:x=50,y=0]%bch + %ach pro %clc Stufe(n)[/left]
[/pos:x=20,y=0]Wirkung:[/pos:x=50,y=0]%1bm bis %2bm + %1am bis %2am pro %clm Stufe(n)[/left]
-------------------------------------------------[/center]
— BESCHREIBUNG —[/center]
""Überträgt das Glück des Ziels auf den Zaubernden.""[/center]
[/center]
— WIRKUNG —[/center]
""Vom Ziel werden %1bm bis %2bm Punkte an Glück,[/center]
plus %1am bis %2am Punkte für alle %clm Stufe(n)[/center]
auf den Zaubernden übertragen.""[/center]
[/end]"
1258,"Gesundheit übertragen[/center]
-------------------------------------------------[/center]
[/pos:x=20,y=0]Dauer:[/pos:x=50,y=0]%bdr + %adr pro %cld Stufe(n)[/left]
[/pos:x=20,y=0]Chance:[/pos:x=50,y=0]%bch + %ach pro %clc Stufe(n)[/left]
[/pos:x=20,y=0]Wirkung:[/pos:x=50,y=0]%1bm bis %2bm + %1am bis %2am pro %clm Stufe(n)[/left]
-------------------------------------------------[/center]
— BESCHREIBUNG —[/center]
""Überträgt die Lebensenergie des Ziels auf den Zaubernden.""[/center]
[/center]
— WIRKUNG —[/center]
""Vom Ziel werden %1bm bis %2bm Lebenspunkte,[/center]
plus %1am bis %2am Punkte für alle %clm Stufe(n)[/center]
auf den Zaubernden übertragen.""[/center]
[/end]"
1259,"Ausdauer übertragen[/center]
-------------------------------------------------[/center]
[/pos:x=20,y=0]Dauer:[/pos:x=50,y=0]%bdr + %adr pro %cld Stufe(n)[/left]
[/pos:x=20,y=0]Chance:[/pos:x=50,y=0]%bch + %ach pro %clc Stufe(n)[/left]
[/pos:x=20,y=0]Wirkung:[/pos:x=50,y=0]%1bm bis %2bm + %1am bis %2am pro %clm Stufe(n)[/left]
-------------------------------------------------[/center]
— BESCHREIBUNG —[/center]
""Überträgt die Ausdauer des Ziels auf den Zaubernden.""[/center]
[/center]
— WIRKUNG —[/center]
""Vom Ziel werden %1bm bis %2bm Ausdauerpunkte,[/center]
plus %1am bis %2am für Punkte alle %clm Stufe(n)[/center]
auf den Zaubernden übertragen.""[/center]
[/end]"
1260,"Unsichtbarkeit (Normal)[/center]
-------------------------------------------------[/center]
[/pos:x=20,y=0]Dauer:[/pos:x=50,y=0]%bdr + %adr pro %cld Stufe(n)[/left]
[/pos:x=20,y=0]Chance:[/pos:x=50,y=0]%bch + %ach pro %clc Stufe(n)[/left]
[/pos:x=20,y=0]Wirkung:[/pos:x=50,y=0]%1bm bis %2bm + %1am bis %2am pro %clm Stufe(n)[/left]
-------------------------------------------------[/center]
— BESCHREIBUNG —[/center]
""Macht das Ziel unsichtbar.""[/center]
[/center]
— WIRKUNG —[/center]
""Das Ziel bleibt für %bdr Runde(n) unsichtbar,[/center]
plus %adr Runde(n) alle %cld Stufe(n) des Zaubernden.[/center]
Falls das Ziel etwas angreift, wird es wieder sichtbar.""[/center]
[/end]"
1261,"Unsichtbarkeit (Vollständig)[/center]
-------------------------------------------------[/center]
[/pos:x=20,y=0]Dauer:[/pos:x=50,y=0]%bdr + %adr pro %cld Stufe(n)[/left]
[/pos:x=20,y=0]Chance:[/pos:x=50,y=0]%bch + %ach pro %clc Stufe(n)[/left]
[/pos:x=20,y=0]Wirkung:[/pos:x=50,y=0]%1bm bis %2bm + %1am bis %2am pro %clm Stufe(n)[/left]
-------------------------------------------------[/center]
— BESCHREIBUNG —[/center]
""Macht das Ziel unsichtbar.""[/center]
[/center]
— WIRKUNG —[/center]
""Das Ziel bleibt für %bdr Runde(n) unsichtbar,[/center]
plus %adr Runde(n) alle %cld Stufe(n) des Zaubernden.[/center]
Falls das Ziel etwas angreift, bleibt es unsichtbar.""[/center]
[/end]"
1262,"Levitation[/center]
-------------------------------------------------[/center]
[/pos:x=20,y=0]Dauer:[/pos:x=50,y=0]%bdr + %adr pro %cld Stufe(n)[/left]
[/pos:x=20,y=0]Chance:[/pos:x=50,y=0]%bch + %ach pro %clc Stufe(n)[/left]
[/pos:x=20,y=0]Wirkung:[/pos:x=50,y=0]%1bm bis %2bm + %1am bis %2am pro %clm Stufe(n)[/left]
-------------------------------------------------[/center]
— BESCHREIBUNG —[/center]
""Das Ziel kann über dem Boden schweben.""[/center]
[/center]
— WIRKUNG —[/center]
""Das Ziel kann für %bdr Runde(n), plus %adr Runde(n)[/center]
alle %cld Stufe(n) des Zaubernden, levitieren.""[/center]
[/end]"
1263,"Licht[/center]
-------------------------------------------------[/center]
[/pos:x=20,y=0]Dauer:[/pos:x=50,y=0]%bdr + %adr pro %cld Stufe(n)[/left]
[/pos:x=20,y=0]Chance:[/pos:x=50,y=0]%bch + %ach pro %clc Stufe(n)[/left]
[/pos:x=20,y=0]Wirkung:[/pos:x=50,y=0]%1bm bis %2bm + %1am bis %2am pro %clm Stufe(n)[/left]
-------------------------------------------------[/center]
— BESCHREIBUNG —[/center]
""Eine helle Lichtquelle wird um das Ziel herum erzeugt.""[/center]
[/center]
— WIRKUNG —[/center]
""Das Licht bleibt für %bdr Runde(n), plus %adr Runde(n)[/center]
alle %cld Stufe(n) des Zaubernden bestehen.""[/center]
[/end]"
1264,"Schloss[/center]
-------------------------------------------------[/center]
[/pos:x=20,y=0]Dauer:[/pos:x=50,y=0]%bdr + %adr pro %cld Stufe(n)[/left]
[/pos:x=20,y=0]Chance:[/pos:x=50,y=0]%bch + %ach pro %clc Stufe(n)[/left]
[/pos:x=20,y=0]Wirkung:[/pos:x=50,y=0]N/A + N/A pro N/A Stufe(n)[/left]
-------------------------------------------------[/center]
— BESCHREIBUNG —[/center]
""Verschließt eine Truhe oder eine Tür mit einer[/center]
Schloss-Stufe(n) gleich der Stufe des Zaubernden.""[/center]
[/center]
— WIRKUNG —[/center]
""Der Zauber hält %bdr Runde(n), plus %adr Runde(n)[/center]
alle %cld Stufe(n) des Zaubernden. Die Grundchance[/center]
beträgt %bch, plus %ach für alle %clc Stufe(n) des Zaubernden.""[/center]
[/end]"
1265,"Öffnen[/center]
-------------------------------------------------[/center]
[/pos:x=20,y=0]Dauer:[/pos:x=50,y=0]%bdr + %adr pro %cld Stufe(n)[/left]
[/pos:x=20,y=0]Chance:[/pos:x=50,y=0]%bch + %ach pro %clc Stufe(n)[/left]
[/pos:x=20,y=0]Wirkung:[/pos:x=50,y=0]N/A + N/A pro N/A Stufe(n)[/left]
-------------------------------------------------[/center]
— BESCHREIBUNG —[/center]
""Öffnet eine Truhe oder eine Tür mit einer Schloss-Stufe(n)[/center]
gleich oder kleiner der Stufe(n) des Zaubernden.""[/center]
[/center]
— WIRKUNG —[/center]
""Die Grundchance beträgt %bch, plus %ach für[/center]
alle %clc Stufe(n) des Zaubernden.""
[/end]"
1266,"Regeneration[/center]
-------------------------------------------------[/center]
[/pos:x=20,y=0]Dauer:[/pos:x=50,y=0]%bdr + %adr pro %cld Stufe(n)[/left]
[/pos:x=20,y=0]Chance:[/pos:x=50,y=0]%bch + %ach pro %clc Stufe(n)[/left]
[/pos:x=20,y=0]Wirkung:[/pos:x=50,y=0]%1bm bis %2bm + %1am bis %2am pro %clm Stufe(n)[/left]
-------------------------------------------------[/center]
— BESCHREIBUNG —[/center]
""Regeneriert die Lebensenergie des Ziels.""[/center]
[/center]
— WIRKUNG —[/center]
""Das Ziel erhält %1bm bis %2bm Lebenspunkte,[/center]
plus %1am bis %2am Punkte alle %clm Stufe(n) des[/center]
Zaubernden. Der Zauber wirkt %bdr Runde(n), plus[/center]
%adr Runde(n) für alle %cld Stufe(n) des Zaubernden.""[/center]
[/end]"
1267,"Stille[/center]
-------------------------------------------------[/center]
[/pos:x=20,y=0]Dauer:[/pos:x=50,y=0]%bdr + %adr pro %cld Stufe(n)[/left]
[/pos:x=20,y=0]Chance:[/pos:x=50,y=0]%bch + %ach pro %clc Stufe(n)[/left]
[/pos:x=20,y=0]Wirkung:[/pos:x=50,y=0]%1bm bis %2bm + %1am bis %2am pro %clm Stufe(n)[/left]
-------------------------------------------------[/center]
— BESCHREIBUNG —[/center]
""Lässt das Ziel verstummen, was das Zaubern unmöglich macht.""[/center]
[/center]
— WIRKUNG —[/center]
""Die Grundchance beträgt %bch, plus %ach alle %clc Stufe(n)[/center]
des Zaubernden. Die Stille hält %bdr Runde(n) an, plus[/center]
%adr Runde(n) alle %cld Stufe(n) des Zaubernden.""[/center]
[/end]"
1268,"Zauberabsorption[/center]
-------------------------------------------------[/center]
[/pos:x=20,y=0]Dauer:[/pos:x=50,y=0]%bdr + %adr pro %cld Stufe(n)[/left]
[/pos:x=20,y=0]Chance:[/pos:x=50,y=0]%bch + %ach pro %clc Stufe(n)[/left]
[/pos:x=20,y=0]Wirkung:[/pos:x=50,y=0]%1bm bis %2bm + %1am bis %2am pro %clm Stufe(n)[/left]
-------------------------------------------------[/center]
— BESCHREIBUNG —[/center]
""Das Ziel ist in der Lage, Zauber zu absorbieren, deren[/center]
Energie der des Zaubernden hinzugefügt wird.""[/center]
[/center]
— WIRKUNG —[/center]
""Die Grundchance beträgt %bch, plus %ach alle %clc Stufe(n)[/center]
des Zaubernden. Der Effekt hält %bdr Runde(n), plus[/center]
%adr Runde(n) für alle %cld Stufe(n) des Zaubernden.""[/center]
[/end]"
1269,"Zauberreflektion[/center]
-------------------------------------------------[/center]
[/pos:x=20,y=0]Dauer:[/pos:x=50,y=0]%bdr + %adr pro %cld Stufe(n)[/left]
[/pos:x=20,y=0]Chance:[/pos:x=50,y=0]%bch + %ach pro %clc Stufe(n)[/left]
[/pos:x=20,y=0]Wirkung:[/pos:x=50,y=0]%1bm bis %2bm + %1am bis %2am pro %clm Stufe(n)[/left]
-------------------------------------------------[/center]
— BESCHREIBUNG —[/center]
""Das Ziel ist in der Lage, Zauber auf den Angreifer zu reflektieren.""[/center]
[/center]
— WIRKUNG —[/center]
""Die Grundchance beträgt %bch, plus %ach alle %cld Stufe(n)[/center]
des Zaubernden. Der Effekt hält %bdr Runde(n), plus[/center]
%adr Runde(n) für alle %cld Stufe(n) des Zaubernden.""[/center]
[/end]"
1270,"Magieresistenz[/center]
-------------------------------------------------[/center]
[/pos:x=20,y=0]Dauer:[/pos:x=50,y=0]%bdr + %adr pro %cld Stufe(n)[/left]
[/pos:x=20,y=0]Chance:[/pos:x=50,y=0]%bch + %ach pro %clc Stufe(n)[/left]
[/pos:x=20,y=0]Wirkung:[/pos:x=50,y=0]%1bm bis %2bm + %1am bis %2am pro %clm Stufe(n)[/lef]
-------------------------------------------------[/center]
— BESCHREIBUNG —[/center]
""Das Ziel ist in der Lage, Zaubern zu widerstehen.""[/center]
[/center]
— WIRKUNG —[/center]
""Die Grundchance beträgt %bch, plus %ach alle %clc Stufe(n)[/center]
des Zaubernden. Der Effekt hält %bdr Runde(n), plus[/center]
%adr Runde(n) für alle %cld Stufe(n) des Zaubernden.""[/center]
[/end]"
1271,"Chamäleon (Normal)[/center]
-------------------------------------------------[/center]
[/pos:x=20,y=0]Dauer:[/pos:x=50,y=0]%bdr + %adr pro %cld Stufe(n)[/left]
[/pos:x=20,y=0]Chance:[/pos:x=50,y=0]%bch + %ach pro %clc Stufe(n)[/left]
[/pos:x=20,y=0]Wirkung:[/pos:x=50,y=0]%1bm bis %2bm + %1am bis %2am pro %clm Stufe(n)[/left]
-------------------------------------------------[/center]
— BESCHREIBUNG —[/center]
""Erschwert es, das Ziel zu sehen.""[/center]
[/center]
— WIRKUNG —[/center]
""Das Ziel bleibt für %bdr Runde(n) in diesem Zustand,[/center]
plus %adr Runde(n) für alle %cld Stufe(n) des Zaubernden.[/center]
Falls das Ziel etwas angreift, verschwindet der Chamäleonzauber.""[/center]
[/end]"
1272,"Chamäleon (Vollständig)[/center]
-------------------------------------------------[/center]
[/pos:x=20,y=0]Dauer:[/pos:x=50,y=0]%bdr + %adr pro %cld Stufe(n)[/left]
[/pos:x=20,y=0]Chance:[/pos:x=50,y=0]%bch + %ach pro %clc Stufe(n)[/left]
[/pos:x=20,y=0]Wirkung:[/pos:x=50,y=0]%1bm bis %2bm + %1am bis %2am pro %clm Stufe(n)[/left]
-------------------------------------------------[/center]
— BESCHREIBUNG —[/center]
""Erschwert es, das Ziel zu sehen.""[/center]
[/center]
— WIRKUNG —[/center]
""Das Ziel bleibt für %bdr Runde(n) in diesem Zustand,[/center]
plus %adr Runde(n) alle %cld Stufe(n) des Zaubernden.""[/center]
[/end]"
1273,"Schatten (Normal)[/center]
-------------------------------------------------[/center]
[/pos:x=20,y=0]Dauer:[/pos:x=50,y=0]%bdr + %adr pro %cld Stufe(n)[/left]
[/pos:x=20,y=0]Chance:[/pos:x=50,y=0]%bch + %ach pro %clc Stufe(n)[/left]
[/pos:x=20,y=0]Wirkung:[/pos:x=50,y=0]%1bm bis %2bm + %1am bis %2am pro %clm Stufe(n)[/left]
-------------------------------------------------[/center]
— BESCHREIBUNG —[/center]
""Lässt das Ziel mit normalen Schatten verschmelzen.""[/center]
[/center]
— WIRKUNG —[/center]
""Das Ziel bleibt für %bdr Runde(n) in diesem Zustand,[/center]
plus %adr Runde(n) alle %cld Stufe(n) des Zaubernden.[/center]
Falls das Ziel etwas angreift, verschwindet der Schattenzauber.""[/center]
[/end]"
1274,"Schatten (Vollständig)[/center]
-------------------------------------------------[/center]
[/pos:x=20,y=0]Dauer:[/pos:x=50,y=0]%bdr + %adr pro %cld Stufe(n)[/left]
[/pos:x=20,y=0]Chance:[/pos:x=50,y=0]%bch + %ach pro %clc Stufe(n)[/left]
[/pos:x=20,y=0]Wirkung:[/pos:x=50,y=0]%1bm bis %2bm + %1am bis %2am pro %clm Stufe(n)[/left]
-------------------------------------------------[/center]
— BESCHREIBUNG —[/center]
""Lässt das Ziel mit normalen Schatten verschmelzen.""[/center]
[/center]
— WIRKUNG —[/center]
""Das Ziel bleibt für %bdr Runde(n) in diesem Zustand,[/center]
plus %adr Runde(n) alle %cld Stufe(n) des Zaubernden.[/center]
Falls das Ziel etwas angreift, bleibt es versteckt.""[/center]
[/end]"
1275,"Langsamer Fall (Normal, Ausgelöst)[/center]
-------------------------------------------------[/center]
[/pos:x=20,y=0]Dauer:[/pos:x=50,y=0]%bdr + %adr pro %cld Stufe(n)[/left]
[/pos:x=20,y=0]Chance:[/pos:x=50,y=0]%bch + %ach pro %clc Stufe(n)[/left]
[/pos:x=20,y=0]Wirkung:[/pos:x=50,y=0]%1bm bis %2bm + %1am[/left]
[/pos:x=50,y=0]bis %2am pro %clm Stufe(n)[/left]
-------------------------------------------------[/center]
— BESCHREIBUNG —[/center]
""Lässt das Ziel mit halbierter Geschwindigkeit fallen,[/center]
was den Fallschaden stark reduziert.""[/center]
[/center]
— WIRKUNG —[/center]
""Der Zauber bleibt für %bdr Runde(n) aktiv, plus %adr Runde(n)[/center]
alle %cld Stufe(n) des Zaubernden, und wird ausgelöst, wenn[/center]
das Ziel zu fallen beginnt.""[/center]
[/end]"
1276,"Freie Handlung[/center]
-------------------------------------------------[/center]
[/pos:x=20,y=0]Dauer:[/pos:x=50,y=0]%bdr + %adr pro %cld Stufe(n)[/left]
[/pos:x=20,y=0]Chance:[/pos:x=50,y=0]%bch + %ach pro %clc Stufe(n)[/left]
[/pos:x=20,y=0]Wirkung:[/pos:x=50,y=0]N/A + N/A pro N/A Stufe(n)[/left]
-------------------------------------------------[/center]
— BESCHREIBUNG —[/center]
""Heilt das Ziel von Lähmungen.""[/center]
[/center]
— WIRKUNG —[/center]
""""Lähmungsheilung für %bdr Runde(n),[/center]
plus %adr Runde(n) alle %cld Stufe(n) des Zaubernden.""[/center]
[/end]"
1277,"Sprung[/center]
-------------------------------------------------[/center]
[/pos:x=20,y=0]Dauer:[/pos:x=50,y=0]%bdr + %adr pro %cld Stufe(n)[/left]
[/pos:x=20,y=0]Chance:[/pos:x=50,y=0]%bch + %ach pro %clc Stufe(n)[/left]
[/pos:x=20,y=0]Wirkung:[/pos:x=50,y=0]%1bm bis %2bm + %1am bis %2am pro %clm Stufe(n)[/left]
-------------------------------------------------[/center]
— BESCHREIBUNG —[/center]
""Lässt das Ziel doppelt so kraftvoll wie gewöhnlich springen.""[/center]
[/center]
— WIRKUNG —[/center]
""Der Zauber bleibt für %bdr Runde(n) aktiv,[/center]
plus %adr Runde(n) alle %cld Stufe(n),[/center]
und wird ausgelöst, wenn das Ziel springt.""[/center]
[/end]"
1278,"Klettern[/center]
-------------------------------------------------[/center]
[/pos:x=20,y=0]Dauer:[/pos:x=50,y=0]%bdr + %adr pro %cld Stufe(n)[/left]
[/pos:x=20,y=0]Chance:[/pos:x=50,y=0]%bch + %ach pro %clc Stufe(n)[/left]
[/pos:x=20,y=0]Wirkung:[/pos:x=50,y=0]%1bm bis %2bm + %1am bis %2am pro %clm Stufe(n)[/left]
-------------------------------------------------[/center]
— BESCHREIBUNG —[/center]
""Lässt das Ziel doppelt so schnell wie gewöhnlich klettern.""[/center]
[/center]
— WIRKUNG —[/center]
""Der Zauber bleibt für %adr Runde(n) aktiv,[/center]
plus %adr alle %cld Stufe(n) des Zaubernden,[/center]
und wird ausgelöst, wenn das Ziel zu klettern beginnt.""[/center]
[/end]"
1279,"Gestaltwandlung[/center]
-------------------------------------------------[/center]
[/pos:x=20,y=0]Dauer:[/pos:x=50,y=0]%bdr + %adr pro %cld Stufe(n)[/left]
[/pos:x=20,y=0]Chance:[/pos:x=50,y=0]%bch + %ach pro %clc Stufe(n)[/left]
[/pos:x=20,y=0]Wirkung:[/pos:x=50,y=0]%1bm bis %2bm + %1am bis %2am pro %clm Stufe(n)[/left]
-------------------------------------------------[/center]
— BESCHREIBUNG —[/center]
""Verwandelt das Ziel in eine Kreatur oder ein Objekt[/center]
nach Wahl des Zaubernden.""[/center]
[/center]
— WIRKUNG —[/center]
""Die Grundchance auf Erfolg beträgt %bch, plus %ach alle[/center]
%clc Stufe(n) des Zaubernden. Die Verwandlung hält %bdr Runde(n)[/center]
an, plus %adr Runde(n) für alle %cld Stufe(n) des Zaubernden.""[/center]
[/end]"
1280,"Gestaltwandlung anderer[/center]
-------------------------------------------------[/center]
[/pos:x=20,y=0]Dauer:[/pos:x=50,y=0]%bdr + %adr pro %cld Stufe(n)[/left]
[/pos:x=20,y=0]Chance:[/pos:x=50,y=0]%bch + %ach pro %clc Stufe(n)[/left]
[/pos:x=20,y=0]Wirkung:[/pos:x=50,y=0]%1bm bis %2bm + %1am bis %2am pro %clm Stufe(n)[/left]
-------------------------------------------------[/center]
— BESCHREIBUNG —[/center]
""Verwandelt das Ziel in eine Kreatur oder ein Objekt[/center]
nach Wahl des Zaubernden.""[/center]
[/center]
— WIRKUNG —[/center]
""Die Grundchance auf Erfolg beträgt %bch, plus %ach alle[/center]
%clc Stufe(n) des Zaubernden. Die Verwandlung hält %bdr Runde(n)[/center]
an, plus %adr Runde(n) für alle %cld Stufe(n) des Zaubernden.""[/center]
[/end]"
1281,"Gegenstand verwandeln[/center]
-------------------------------------------------[/center]
[/pos:x=20,y=0]Dauer:[/pos:x=50,y=0]%bdr + %adr pro %cld Stufe(n)[/left]
[/pos:x=20,y=0]Chance:[/pos:x=50,y=0]%bch + %ach pro %clc Stufe(n)[/left]
[/pos:x=20,y=0]Wirkung:[/pos:x=50,y=0]%1bm bis %2bm + %1am bis %2am pro %clm Stufe(n)[/left]
-------------------------------------------------[/center]
— BESCHREIBUNG —[/center]
""Verwandelt das Ziel in eine Kreatur oder ein Objekt[/center]
nach Wahl des Zaubernden.""[/center]
[/center]
— WIRKUNG —[/center]
""Die Grundchance auf Erfolg beträgt %bch, plus %ach alle[/center]
%clc Stufe(n) des Zaubernden. Die Verwandlung hält %bdr Runde(n)[/center]
an, plus %adr Runde(n) für alle %cld Stufe(n) des Zaubernden.""[/center]
[/end]"
1282,"Wasseratmung[/center]
-------------------------------------------------[/center]
[/pos:x=20,y=0]Dauer:[/pos:x=50,y=0]%bdr + %adr pro %cld Stufe(n)[/left]
[/pos:x=20,y=0]Chance:[/pos:x=50,y=0]%bch + %ach pro %clc Stufe(n)[/left]
[/pos:x=20,y=0]Wirkung:[/pos:x=50,y=0]N/A + N/A pro N/A Stufe(n)[/left]
-------------------------------------------------[/center]
— BESCHREIBUNG —[/center]
""Lässt das Ziel unter Wasser normal atmen.""[/center]
[/center]
— WIRKUNG —[/center]
""Die Grundchance auf Erfolg beträgt %bch, plus %ach alle[/center]
%clc Stufe(n) des Zaubernden. Die Wasseratmung hält[/center]
%bdr Runde(n), plus %adr Runde(n) für alle %cld Stufe(n)[/center]
des Zaubernden.""[/center]
[/end]"
1283,"Wasserwandeln[/center]
-------------------------------------------------[/center]
[/pos:x=20,y=0]Dauer:[/pos:x=50,y=0]%bdr + %adr pro %cld Stufe(n)[/left]
[/pos:x=20,y=0]Chance:[/pos:x=50,y=0]%bch + %ach pro %clc Stufe(n)[/left]
[/pos:x=20,y=0]Wirkung:[/pos:x=50,y=0]N/A + N/A pro N/A Stufe(n)[/left]
-------------------------------------------------[/center]
— BESCHREIBUNG —[/center]
""Ermöglicht es dem Ziel, auf der Wasseroberfläche zu laufen.""[/center]
[/center]
— WIRKUNG —[/center]
""Nachdem er gewirkt wurde, bleibt der Zauber für %bdr Runde(n) aktiv,[/center]
plus %adr Runde(n) alle %cld Stufe(n) des Zaubernden.""[/center]
[/end]"
1284,"Schrumpfen[/center]
-------------------------------------------------[/center]
[/pos:x=20,y=0]Dauer:[/pos:x=50,y=0]%bdr + %adr pro %cld Stufe(n)[/left]
[/pos:x=20,y=0]Chance:[/pos:x=50,y=0]%bch + %ach pro %clc Stufe(n)[/left]
[/pos:x=20,y=0]Wirkung:[/pos:x=50,y=0]N/A + N/A pro N/A Stufe(n)[/left]
-------------------------------------------------[/center]
— BESCHREIBUNG —[/center]
""Lässt das Ziel auf die Hälfte seiner ursprünglichen Größe schrumpfen.""[/center]
[/center]
— WIRKUNG —[/center]
""Die Grundchance auf Erfolg beträgt %bch, plus zusätzliche %ach alle[/center]
%clc Stufe(n) des Zaubernden. Die Verkleinerung hält[/center]
%bdr Runde(n), plus %adr Runde(n) für alle %cld Stufe(n)[/center]
des Zaubernden.""[/center]
[/end]"
1285,"Tiere beruhigen[/center]
-------------------------------------------------[/center]
[/pos:x=20,y=0]Dauer:[/pos:x=50,y=0]%bdr + %adr pro %cld Stufe(n)[/left]
[/pos:x=20,y=0]Chance:[/pos:x=50,y=0]%bch + %ach pro %clc Stufe(n)[/left]
[/pos:x=20,y=0]Wirkung:[/pos:x=50,y=0]N/A + N/A pro N/A Stufe(n)[/left]
-------------------------------------------------[/center]
— BESCHREIBUNG —[/center]
""Beruhigt jedes lebende Tier mit geringerer als humanoider Intelligenz.""[/center]
[/center]
— WIRKUNG —[/center]
""Die Grundchance auf Erfolg beträgt %bch, plus %ach alle %clc Stufe(n)[/center]
des Zaubernden. Der Effekt hält %bdr Runde(n), plus[/center]
%adr Runde(n) für alle %cld Stufe(n) des Zaubernden.""[/center]
[/end]"
1286,"Untote beruhigen[/center]
-------------------------------------------------[/center]
[/pos:x=20,y=0]Dauer:[/pos:x=50,y=0]%bdr + %adr pro %cld Stufe(n)[/left]
[/pos:x=20,y=0]Chance:[/pos:x=50,y=0]%bch + %ach pro %clc Stufe(n)[/left]
[/pos:x=20,y=0]Wirkung:[/pos:x=50,y=0]N/A + N/A pro N/A Stufe(n)[/left]
-------------------------------------------------[/center]
— BESCHREIBUNG —[/center]
""Beruhigt untote Kreaturen.""[/center]
[/center]
— WIRKUNG —[/center]
""Die Grundchance auf Erfolg beträgt %bch, plus %ach alle %clc Stufe(n)[/center]
des Zaubernden. Der Effekt hält %bdr Runde(n), plus[/center]
%adr Runde(n) für alle %cld Stufe(n) des Zaubernden.""[/center]
[/end]"
1287,"Humanoide beruhigen[/center]
-------------------------------------------------[/center]
[/pos:x=20,y=0]Dauer:[/pos:x=50,y=0]%bdr + %adr pro %cld Stufe(n)[/left]
[/pos:x=20,y=0]Chance:[/pos:x=50,y=0]%bch + %ach pro %clc Stufe(n)[/left]
[/pos:x=20,y=0]Wirkung:[/pos:x=50,y=0]N/A + N/A pro N/A Stufe(n)[/left]
-------------------------------------------------[/center]
— BESCHREIBUNG —[/center]
""Beruhigt humanoide Kreaturen.""[/center]
[/center]
— WIRKUNG —[/center]
""Die Grundchance auf Erfolg beträgt %bch, plus %ach alle %clc Stufe(n)[/center]
des Zaubernden. Der Effekt hält %bdr Runde(n), plus[/center]
%adr Runde(n) alle %cld Stufe(n) des Zaubernden.""[/center]
[/end]"
1288,"Daedra beruhigen[/center]
-------------------------------------------------[/center]
[/pos:x=20,y=0]Dauer:[/pos:x=50,y=0]%bdr + %adr pro %cld Stufe(n)[/left]
[/pos:x=20,y=0]Chance:[/pos:x=50,y=0]%bch + %ach pro %clc Stufe(n)[/left]
[/pos:x=20,y=0]Wirkung:[/pos:x=50,y=0]N/A + N/A pro N/A Stufe(n)[/left]
-------------------------------------------------[/center]
— BESCHREIBUNG —[/center]
""Beruhigt Daedra.""[/center]
[/center]
— WIRKUNG —[/center]
""Die Grundchance auf Erfolg beträgt %bch, plus %ach alle %clc Stufe(n) des[/center]
Zaubernden. Der Effekt hält %bdr Runde(n), plus[/center]
%adr Runde(n) alle %cld Stufe(n) des Zaubernden.""[/center]
[/end]"
1289,"Bezaubern[/center]
-------------------------------------------------[/center]
[/pos:x=20,y=0]Dauer:[/pos:x=50,y=0]%bdr + %adr pro %cld Stufe(n)[/left]
[/pos:x=20,y=0]Chance:[/pos:x=50,y=0]%bch + %ach pro %clc Stufe(n)[/left]
[/pos:x=20,y=0]Wirkung:[/pos:x=50,y=0]N/A + N/A pro N/A Stufe(n)[/left]
-------------------------------------------------[/center]
— BESCHREIBUNG —[/center]
""Erhöht den Charme des Zaubernden beim Ziel, wodurch sich sein Ruf verbessert.""[/center]
[/center]
— WIRKUNG —[/center]
""Die Grundchance auf Erfolg beträgt %bch, plus %ach alle %clc Stufe(n)[/center]
des Zaubernden. Der Effekt hält %bdr Runde(n), plus[/center]
%adr Runde(n) alle %cld Stufe(n) des Zaubernden.""[/center]
[/end]"
1290,"Schild[/center]
-------------------------------------------------[/center]
[/pos:x=20,y=0]Dauer:[/pos:x=50,y=0]%bdr + %adr pro %cld Stufe(n)[/left]
[/pos:x=20,y=0]Chance:[/pos:x=50,y=0]N/A + N/A pro N/A Stufe(n)[/left]
[/pos:x=20,y=0]Wirkung:[/pos:x=50,y=0]%1bm bis %2bm + %1am bis %2a pro %clm Stufe(n)[/left]
-------------------------------------------------[/center]
— BESCHREIBUNG —[/center]
""Erzeugt einen Schild um den Zaubernden, der Lebenspunkte absorbiert.""[/center]
[/center]
— WIRKUNG —[/center]
""Schild absorbiert %1bm - %2bm Lebenspunkte,[/center]
plus %1am - %2am Punkte alle %clm Stufe(n) des[/center]
Zaubernden. Wenn der Schild seinen Maximalschaden[/center]
eingesteckt hat oder %bdr Runde(n), plus %adr Runde(n)[/center]
alle %cld Stufe(n) des Zaubernden, vergangen sind,[/center]
löst er sich wieder auf.""[/center]
[/end]"
